image_id,predicted_label
0,00
1,00
2,23
3,23
4,23
5,23
6,23
7,23
8,57
9,57
10,60
11,60
12,60
13,60
14,60
15,60
16,60
17,60
18,60
19,60
20,00
21,00
22,23
23,30
24,30
25,30
26,30
27,30
28,30
29,30
30,30
31,30
32,30
33,30
34,30
35,30
36,30
37,30
38,30
39,30
40,00
41,00
42,23
43,30
44,30
45,30
46,30
47,30
48,30
49,30
50,30
51,30
52,30
53,30
54,30
55,30
56,30
57,30
58,30
59,30
60,00
61,00
62,23
63,30
64,30
65,30
66,30
67,30
68,30
69,30
70,60
71,60
72,60
73,60
74,71
75,71
76,71
77,71
78,71
79,71
80,00
81,00
82,23
83,23
84,23
85,23
86,23
87,23
88,23
89,23
90,60
91,60
92,60
93,60
94,60
95,60
96,60
97,60
98,60
99,60
100,00
101,10
102,23
103,30
104,30
105,30
106,30
107,30
108,30
109,30
110,30
111,30
112,30
113,30
114,30
115,30
116,30
117,30
118,30
119,30
120,00
121,00
122,23
123,30
124,30
125,30
126,30
127,30
128,30
129,30
130,60
131,60
132,60
133,60
134,60
135,60
136,60
137,60
138,60
139,60
140,00
141,10
142,23
143,30
144,30
145,30
146,30
147,30
148,30
149,30
150,30
151,30
152,30
153,30
154,30
155,30
156,30
157,30
158,30
159,30
160,00
161,00
162,23
163,30
164,30
165,30
166,30
167,30
168,30
169,30
170,60
171,60
172,60
173,60
174,60
175,60
176,60
177,60
178,60
179,60
180,00
181,10
182,23
183,30
184,30
185,30
186,30
187,30
188,30
189,30
190,60
191,60
192,60
193,60
194,60
195,60
196,60
197,60
198,60
199,60
200,00
201,10
202,23
203,30
204,30
205,30
206,30
207,30
208,30
209,30
210,30
211,30
212,30
213,30
214,30
215,30
216,30
217,30
218,30
219,30
220,00
221,00
222,23
223,30
224,30
225,30
226,30
227,30
228,30
229,30
230,30
231,30
232,30
233,30
234,71
235,71
236,71
237,71
238,71
239,71
240,00
241,00
242,23
243,23
244,23
245,23
246,23
247,23
248,23
249,23
250,60
251,60
252,60
253,60
254,71
255,71
256,71
257,71
258,71
259,71
260,00
261,00
262,23
263,30
264,30
265,30
266,30
267,30
268,30
269,30
270,30
271,30
272,30
273,30
274,30
275,30
276,30
277,30
278,30
279,30
280,00
281,00
282,23
283,23
284,23
285,23
286,23
287,23
288,23
289,23
290,60
291,60
292,60
293,60
294,60
295,60
296,60
297,60
298,60
299,60
300,00
301,00
302,23
303,30
304,30
305,30
306,30
307,30
308,30
309,30
310,60
311,60
312,60
313,60
314,60
315,60
316,60
317,60
318,60
319,60
320,00
321,10
322,23
323,30
324,30
325,30
326,30
327,30
328,30
329,30
330,30
331,30
332,30
333,30
334,71
335,71
336,71
337,71
338,71
339,71
340,00
341,00
342,23
343,30
344,30
345,30
346,30
347,30
348,30
349,30
350,60
351,60
352,60
353,60
354,60
355,60
356,60
357,60
358,60
359,60
360,00
361,10
362,23
363,23
364,23
365,23
366,23
367,23
368,23
369,23
370,23
371,23
372,23
373,23
374,23
375,23
376,23
377,23
378,23
379,23
380,00
381,00
382,00
383,30
384,30
385,30
386,30
387,30
388,30
389,30
390,60
391,60
392,60
393,60
394,60
395,60
396,60
397,60
398,60
399,60
400,00
401,00
402,23
403,30
404,30
405,30
406,30
407,30
408,30
409,30
410,60
411,60
412,60
413,60
414,71
415,71
416,71
417,71
418,71
419,71
420,00
421,10
422,23
423,23
424,23
425,23
426,23
427,23
428,23
429,23
430,23
431,23
432,23
433,23
434,71
435,71
436,71
437,71
438,71
439,71
440,00
441,00
442,23
443,30
444,30
445,30
446,30
447,30
448,30
449,30
450,30
451,30
452,30
453,30
454,71
455,71
456,71
457,71
458,71
459,71
460,00
461,00
462,23
463,23
464,23
465,23
466,23
467,23
468,23
469,23
470,23
471,23
472,23
473,23
474,23
475,23
476,23
477,23
478,23
479,23
480,00
481,00
482,23
483,30
484,30
485,30
486,30
487,30
488,30
489,30
490,60
491,60
492,60
493,60
494,60
495,60
496,60
497,60
498,60
499,60
500,00
501,00
502,23
503,30
504,30
505,30
506,30
507,30
508,30
509,30
510,60
511,60
512,60
513,60
514,60
515,60
516,60
517,60
518,60
519,60
520,00
521,00
522,23
523,30
524,30
525,30
526,30
527,30
528,30
529,30
530,60
531,60
532,60
533,60
534,60
535,60
536,60
537,60
538,60
539,60
540,00
541,10
542,23
543,23
544,23
545,23
546,23
547,23
548,23
549,23
550,23
551,23
552,23
553,23
554,23
555,23
556,23
557,23
558,23
559,23
560,00
561,00
562,23
563,30
564,30
565,30
566,30
567,30
568,30
569,30
570,30
571,30
572,30
573,30
574,30
575,30
576,30
577,30
578,30
579,30
580,00
581,00
582,23
583,23
584,23
585,23
586,23
587,23
588,23
589,23
590,60
591,60
592,60
593,60
594,60
595,60
596,60
597,60
598,60
599,60
600,00
601,00
602,23
603,23
604,23
605,23
606,23
607,23
608,23
609,23
610,60
611,60
612,60
613,60
614,60
615,60
616,60
617,60
618,60
619,60
620,00
621,00
622,23
623,23
624,23
625,23
626,23
627,23
628,23
629,23
630,60
631,60
632,60
633,60
634,71
635,71
636,71
637,71
638,71
639,71
640,00
641,10
642,23
643,30
644,30
645,30
646,30
647,30
648,30
649,30
650,30
651,30
652,30
653,30
654,30
655,30
656,30
657,30
658,30
659,30
660,00
661,10
662,23
663,30
664,30
665,30
666,30
667,30
668,30
669,30
670,60
671,60
672,60
673,60
674,71
675,71
676,71
677,71
678,71
679,71
680,00
681,00
682,23
683,30
684,30
685,30
686,30
687,30
688,30
689,30
690,60
691,60
692,60
693,60
694,71
695,71
696,71
697,71
698,71
699,71
700,00
701,00
702,23
703,30
704,30
705,30
706,30
707,30
708,30
709,30
710,30
711,30
712,30
713,30
714,30
715,30
716,30
717,30
718,30
719,30
720,00
721,00
722,23
723,23
724,23
725,23
726,23
727,23
728,23
729,23
730,60
731,60
732,60
733,60
734,71
735,71
736,71
737,71
738,71
739,71
740,00
741,00
742,23
743,30
744,30
745,30
746,30
747,30
748,30
749,30
750,60
751,60
752,60
753,60
754,71
755,71
756,71
757,71
758,71
759,71
760,00
761,00
762,23
763,30
764,30
765,30
766,30
767,30
768,30
769,30
770,60
771,60
772,60
773,60
774,71
775,71
776,71
777,71
778,71
779,71
780,00
781,00
782,23
783,23
784,23
785,23
786,23
787,23
788,57
789,57
790,57
791,57
792,57
793,57
794,57
795,57
796,57
797,57
798,57
799,57
800,00
801,10
802,23
803,23
804,23
805,23
806,23
807,23
808,23
809,23
810,23
811,23
812,23
813,23
814,23
815,23
816,23
817,23
818,23
819,23
820,00
821,00
822,23
823,30
824,30
825,30
826,30
827,30
828,30
829,30
830,30
831,30
832,30
833,30
834,30
835,30
836,30
837,30
838,30
839,30
840,00
841,00
842,23
843,23
844,23
845,23
846,23
847,23
848,23
849,23
850,60
851,60
852,60
853,60
854,71
855,71
856,71
